#,Date Time,Measurement,Unit
1,2026-07-27 4:25:09.559 PM,18.133862,VDC
2,2026-07-27 4:25:10.004 PM,18.120822,VDC
3,2026-07-27 4:25:10.456 PM,18.10327,VDC
4,2026-07-27 4:25:10.904 PM,18.090956,VDC
5,2026-07-27 4:25:11.346 PM,18.077874,VDC
6,2026-07-27 4:25:11.793 PM,18.048104,VDC
7,2026-07-27 4:25:12.243 PM,18.043014,VDC
8,2026-07-27 4:25:12.688 PM,18.030594,VDC
9,2026-07-27 4:25:13.135 PM,18.022762,VDC
10,2026-07-27 4:25:13.581 PM,18.017149,VDC
11,2026-07-27 4:25:14.027 PM,18.010939,VDC
12,2026-07-27 4:25:14.475 PM,12.599876,VDC
13,2026-07-27 4:25:14.923 PM,14.387792,VDC
14,2026-07-27 4:25:15.369 PM,14.983508,VDC
15,2026-07-27 4:25:15.813 PM,14.993495,VDC
16,2026-07-27 4:25:16.266 PM,14.85812,VDC
17,2026-07-27 4:25:16.714 PM,16.736373,VDC
18,2026-07-27 4:25:17.157 PM,14.09695,VDC
19,2026-07-27 4:25:17.603 PM,15.033786,VDC
20,2026-07-27 4:25:18.045 PM,15.257128,VDC
21,2026-07-27 4:25:18.489 PM,15.408561,VDC
22,2026-07-27 4:25:18.936 PM,15.541258,VDC
23,2026-07-27 4:25:19.381 PM,15.441618,VDC
24,2026-07-27 4:25:19.824 PM,15.439025,VDC
25,2026-07-27 4:25:20.272 PM,15.381629,VDC
26,2026-07-27 4:25:20.718 PM,15.277583,VDC
27,2026-07-27 4:25:21.164 PM,15.158822,VDC
28,2026-07-27 4:25:21.613 PM,15.081707,VDC
29,2026-07-27 4:25:22.068 PM,17.797593,VDC
30,2026-07-27 4:25:22.513 PM,18.047571,VDC
31,2026-07-27 4:25:22.959 PM,18.108829,VDC
32,2026-07-27 4:25:23.406 PM,18.12015,VDC
33,2026-07-27 4:25:23.853 PM,18.11935,VDC
34,2026-07-27 4:25:24.294 PM,18.11665,VDC
35,2026-07-27 4:25:24.745 PM,18.115551,VDC
36,2026-07-27 4:25:25.204 PM,18.105713,VDC
37,2026-07-27 4:25:25.654 PM,18.094691,VDC
38,2026-07-27 4:25:26.110 PM,18.079187,VDC
39,2026-07-27 4:25:26.553 PM,18.072016,VDC
40,2026-07-27 4:25:27.004 PM,17.700792,VDC
41,2026-07-27 4:25:27.450 PM,18.14291,VDC
42,2026-07-27 4:25:27.899 PM,18.191097,VDC
43,2026-07-27 4:25:28.345 PM,18.192175,VDC
