#,Date Time,Measurement,Unit
1,2026-07-27 2:17:56.376 PM,0.000000469,VDC
2,2026-07-27 2:17:56.838 PM,0.00000032,VDC
3,2026-07-27 2:17:57.283 PM,0.000000756,VDC
4,2026-07-27 2:17:57.730 PM,0.000000842,VDC
5,2026-07-27 2:17:58.176 PM,0.000000437,VDC
6,2026-07-27 2:17:58.626 PM,0.000000724,VDC
7,2026-07-27 2:17:59.074 PM,0.000000661,VDC
8,2026-07-27 2:17:59.517 PM,0.00000082,VDC
9,2026-07-27 2:17:59.964 PM,0.000001151,VDC
10,2026-07-27 2:18:00.407 PM,0.000000543,VDC
11,2026-07-27 2:18:00.975 PM,13.529551,VDC
12,2026-07-27 2:18:01.416 PM,13.822669,VDC
13,2026-07-27 2:18:01.873 PM,13.888121,VDC
14,2026-07-27 2:18:02.320 PM,13.899581,VDC
15,2026-07-27 2:18:02.766 PM,13.897212,VDC
16,2026-07-27 2:18:03.207 PM,13.889444,VDC
17,2026-07-27 2:18:03.657 PM,13.893957,VDC
18,2026-07-27 2:18:04.106 PM,13.886488,VDC
19,2026-07-27 2:18:04.561 PM,13.875519,VDC
20,2026-07-27 2:18:05.009 PM,13.884098,VDC
21,2026-07-27 2:18:05.446 PM,13.896678,VDC
22,2026-07-27 2:18:05.897 PM,13.923344,VDC
23,2026-07-27 2:18:06.347 PM,13.917806,VDC
24,2026-07-27 2:18:06.802 PM,13.872627,VDC
25,2026-07-27 2:18:07.247 PM,13.88509,VDC
26,2026-07-27 2:18:07.697 PM,13.880502,VDC
27,2026-07-27 2:18:08.152 PM,13.884386,VDC
28,2026-07-27 2:18:08.686 PM,0.03567906,VDC
29,2026-07-27 2:18:09.209 PM,0.000000618,VDC
30,2026-07-27 2:18:09.656 PM,0.000000629,VDC
31,2026-07-27 2:18:10.096 PM,0.000001001,VDC
32,2026-07-27 2:18:10.557 PM,0.000001055,VDC
33,2026-07-27 2:18:11.001 PM,0.000001257,VDC
34,2026-07-27 2:18:11.452 PM,0.000001385,VDC
35,2026-07-27 2:18:11.899 PM,0.000001619,VDC
36,2026-07-27 2:18:12.356 PM,0.0000018,VDC
37,2026-07-27 2:18:12.803 PM,0.000001683,VDC
38,2026-07-27 2:18:13.246 PM,0.000001651,VDC
39,2026-07-27 2:18:13.699 PM,0.000001492,VDC
40,2026-07-27 2:18:14.146 PM,0.00000147,VDC
41,2026-07-27 2:18:14.596 PM,0.0000013,VDC
42,2026-07-27 2:18:15.047 PM,0.000001353,VDC
43,2026-07-27 2:18:15.496 PM,0.000001151,VDC
44,2026-07-27 2:18:15.947 PM,0.000001076,VDC
45,2026-07-27 2:18:16.397 PM,0.000000927,VDC
46,2026-07-27 2:18:16.850 PM,0.000001023,VDC
47,2026-07-27 2:18:17.296 PM,0.000001001,VDC
48,2026-07-27 2:18:17.745 PM,0.00000081,VDC
49,2026-07-27 2:18:18.188 PM,0.000000756,VDC
50,2026-07-27 2:18:18.634 PM,0.000000767,VDC
51,2026-07-27 2:18:19.076 PM,0.000000831,VDC
52,2026-07-27 2:18:19.537 PM,0.000000874,VDC
53,2026-07-27 2:18:19.990 PM,0.00000098,VDC
54,2026-07-27 2:18:20.446 PM,0.000001023,VDC
55,2026-07-27 2:18:20.896 PM,0.000000671,VDC
56,2026-07-27 2:18:21.352 PM,0.000001108,VDC
